,title,year,month,genre,duration,country,language,budget,total_gross,net_income,critic_reviews,user_reviews,metascore,meta_hit
30684,So cosa hai fatto,1997,5,"Horror, Mystery",101,USA,English,17000000,125586134,108586134,163.0,445.0,52.0,0
30687,Tempesta di ghiaccio,1997,10,Drama,112,USA,English,18000000,8038061,-9961939,135.0,301.0,72.0,0
30691,In & Out,1997,1,"Comedy, Romance",90,USA,English,35000000,63856929,28856929,78.0,152.0,70.0,0
30706,Jackie Brown,1997,3,"Crime, Drama, Thriller",154,USA,English,12000000,39673162,27673162,174.0,545.0,64.0,0
30733,Baciami Guido,1997,7,Comedy,86,USA,English,740000,1918497,1178497,23.0,24.0,46.0,0
30735,Il collezionista,1997,2,"Crime, Drama, Mystery",115,USA,"English, Mandarin",27000000,60527873,33527873,74.0,165.0,46.0,0
30741,L.A. Confidential,1997,11,"Crime, Drama, Mystery",138,USA,English,35000000,126216940,91216940,132.0,715.0,90.0,1
30749,Ci pensa Beaver,1997,7,"Comedy, Family",84,USA,English,15000000,10925060,-4074940,23.0,25.0,42.0,0
30753,Amici & vicini,1998,2,"Comedy, Drama, Romance",100,USA,English,5000000,4714658,-285342,47.0,122.0,70.0,0
30759,Bugiardo bugiardo,1997,4,"Comedy, Fantasy",86,USA,English,45000000,302710615,257710615,80.0,294.0,70.0,0
30776,Il mondo perduto - Jurassic Park,1997,9,"Action, Adventure, Sci-Fi",129,USA,"English, Spanish",73000000,618638999,545638999,206.0,664.0,59.0,0
30791,Mad City - Assalto alla notizia,1997,2,"Crime, Drama, Thriller",114,USA,English,50000000,10541523,-39458477,67.0,77.0,45.0,0
30808,La mia flotta privata,1997,7,"Action, Comedy",108,USA,English,31190000,4529843,-26660157,21.0,43.0,18.0,0
30810,Vi presento Joe Black,1998,1,"Drama, Fantasy, Romance",178,USA,"English, Dutch",90000000,142940100,52940100,102.0,806.0,43.0,0
30814,Men in Black,1997,10,"Action, Adventure, Comedy",98,USA,"English, Spanish",90000000,589390539,499390539,162.0,351.0,71.0,0
30823,Mezzanotte nel giardino del bene e del male,1997,3,"Crime, Drama, Mystery",155,USA,"English, French",35000000,25105255,-9894745,67.0,228.0,57.0,0
30841,Mortal Kombat - Distruzione totale,1997,11,"Action, Adventure, Fantasy",95,USA,English,30000000,51376861,21376861,70.0,289.0,11.0,0
30844,Un topolino sotto sfratto,1997,4,Comedy,98,USA,English,38000000,122417389,84417389,73.0,114.0,54.0,0
30846,Mr. Magoo,1997,5,"Adventure, Comedy, Family",87,USA,English,30000000,21437192,-8562808,19.0,53.0,18.0,0
30852,Delitto alla Casa Bianca,1997,12,"Action, Crime, Drama",107,USA,English,40000000,25804707,-14195293,61.0,66.0,47.0,0
30857,Il matrimonio del mio migliore amico,1997,12,"Comedy, Drama, Romance",105,USA,"English, French, Italian",38000000,299288605,261288605,93.0,204.0,50.0,0
30861,I segreti del cuore,1997,9,"Comedy, Drama, Romance",93,USA,English,2000000,523025,-1476975,35.0,37.0,58.0,0
30870,Prossima fermata Wonderland,1998,8,"Comedy, Drama, Romance",104,USA,English,1000000,3395581,2395581,41.0,88.0,71.0,0
30886,Qualcosa è cambiato,1997,1,"Comedy, Drama, Romance",139,USA,English,50000000,314178011,264178011,136.0,548.0,67.0,0
30895,Gli impenitenti,1997,6,"Comedy, Romance",106,USA,"English, Italian, Japanese, Spanish",33000000,30716901,-2283099,34.0,60.0,49.0,0
30906,The Peacemaker,1997,10,"Action, Thriller",124,USA,"English, Russian, Serbian, Bosnian, Croatian, Polish",50000000,110463140,60463140,96.0,169.0,43.0,0
30916,Romantici equivoci,1997,5,"Comedy, Drama, Romance",101,USA,English,10000000,44332015,34332015,58.0,75.0,44.0,0
30924,L'uomo del giorno dopo,1997,2,"Action, Adventure, Drama",177,USA,English,80000000,17626234,-62373766,85.0,426.0,29.0,0
30930,Without Limits,1998,9,"Biography, Drama, Sport",117,USA,"English, Finnish, German",25000000,777423,-24222577,27.0,63.0,71.0,0
30933,Prefontaine,1997,1,"Biography, Drama, Romance",106,USA,English,8000000,589304,-7410696,26.0,38.0,56.0,0
30937,Private Parts,1997,5,"Biography, Comedy, Drama",109,USA,English,28000000,41230799,13230799,34.0,108.0,67.0,0
30959,Costretti ad uccidere,1998,6,"Action, Crime, Thriller",87,USA,"English, Cantonese",30000000,19204929,-10795071,107.0,179.0,42.0,0
30976,Il santo,1997,5,"Action, Adventure, Romance",116,USA,"English, Russian",68000000,118063304,50063304,56.0,194.0,50.0,0
30985,Scream 2,1997,9,"Horror, Mystery",120,USA,English,24000000,172363301,148363301,210.0,523.0,63.0,0
30989,Selena,1997,3,"Biography, Drama, Music",127,USA,"English, Spanish",20000000,35281794,15281794,40.0,166.0,67.0,0
31022,I sapori della vita,1997,7,"Comedy, Drama",115,USA,English,7500000,43700855,36200855,33.0,32.0,68.0,0
31025,Il prigioniero,1997,1,"Drama, Mystery, Thriller",110,USA,English,10000000,9593903,-406097,104.0,271.0,70.0,0
31026,Spawn,1997,3,"Action, Drama, Horror",96,USA,English,40000000,87840042,47840042,91.0,234.0,34.0,0
31027,Speed 2 - Senza limiti,1997,11,"Action, Adventure, Crime",121,USA,"English, American Sign Language, Portuguese",160000000,164508066,4508066,90.0,283.0,23.0,0
31028,Sfera,1998,4,"Action, Mystery, Sci-Fi",134,USA,English,80000000,37020277,-42979723,107.0,311.0,35.0,0
31032,Three Kings,1999,3,"Action, Adventure, Comedy",114,USA,"English, Arabic",75000000,107752036,32752036,128.0,569.0,82.0,1
31039,Starship Troopers - Fanteria dello spazio,1997,2,"Action, Adventure, Sci-Fi",129,USA,English,105000000,121214377,16214377,201.0,1147.0,51.0,0
