,title,year,month,genre,duration,country,language,avg_vote,votes,budget,gross,net_income,metascore
35540,The Fighting Temptations,2003,7,"Comedy, Drama, Music",123,USA,English,5.6,6703,30000000.0,33972062,3972062.0,53.0
35553,Le riserve,2000,11,"Comedy, Sport",118,USA,"English, American Sign Language",6.6,57265,50000000.0,50054511,54511.0,30.0
35561,L'amore che non muore,2000,10,"Drama, History, Romance",112,"France, Canada",French,7.1,5249,100000000.0,7193889,-92806111.0,73.0
35565,28 giorni,2000,6,"Comedy, Drama",103,USA,English,6.1,43672,43000000.0,62198945,19198945.0,46.0
35578,Get Over It,2001,7,"Comedy, Romance",87,USA,English,5.7,17747,22000000.0,19900366,-2099634.0,52.0
35582,Top model per caso,2001,6,"Comedy, Mystery, Romance",86,USA,"English, Russian",5.5,13683,14000000.0,13127022,-872978.0,27.0
35588,Il mio amico vampiro,2000,2,"Adventure, Comedy, Family",95,"Germany, Netherlands, USA",English,5.7,9455,35000000.0,27965865,-7034135.0,45.0
35600,The Skulls - I teschi,2000,7,"Action, Crime, Drama",106,"USA, Canada",English,5.6,30618,35000000.0,50802120,15802120.0,24.0
35602,Swiri,1999,2,"Action, Thriller",125,South Korea,Korean,6.6,7796,5000000.0,135892,-4864108.0,50.0
35610,Urban Legend: Final Cut,2000,6,"Horror, Mystery, Thriller",97,"USA, Canada",English,4.3,15794,14000000.0,38574362,24574362.0,16.0
35622,Enemies of Laughter,2000,11,"Comedy, Romance",90,USA,English,5.5,166,2500000.0,2000,-2498000.0,47.0
35642,Texas Rangers,2001,7,"Action, Adventure, Drama",90,"USA, Mexico",English,5.2,5392,38000000.0,763740,-37236260.0,29.0
35652,Sfida per la vittoria,2000,7,"Drama, Sport",114,"UK, USA",English,6.3,2102,9000000.0,133122,-8866878.0,66.0
35668,Panic,2000,4,"Comedy, Crime, Drama",88,USA,English,6.6,7913,1000000.0,779137,-220863.0,77.0
35703,L'erba di Grace,2000,12,"Comedy, Crime",93,UK,"English, French",6.9,17370,10000000.0,28741330,18741330.0,62.0
35724,Erin Brockovich - Forte come la verità,2000,4,"Biography, Drama",131,USA,English,7.3,170733,52000000.0,256271286,204271286.0,73.0
35725,Final Destination,2000,8,"Horror, Thriller",98,USA,"English, French",6.7,224856,23000000.0,112880294,89880294.0,36.0
35726,Per una sola estate,2000,6,"Drama, Romance",96,USA,English,5.2,8191,15000000.0,10873148,-4126852.0,25.0
35730,Next Friday,2000,1,Comedy,98,USA,"English, Spanish",6.2,36064,11000000.0,59827328,48827328.0,41.0
35737,MVP: Most Valuable Primate,2000,8,"Comedy, Family, Sport",93,"Canada, USA",English,4.1,2234,4500000.0,1248746,-3251254.0,43.0
35743,Criminali da strapazzo,2000,12,"Comedy, Crime",94,USA,English,6.7,36334,25000000.0,29934477,4934477.0,69.0
35748,Zoolander,2001,7,Comedy,90,"Germany, USA",English,6.5,242549,28000000.0,60780981,32780981.0,61.0
35777,Incontriamoci a Las Vegas,1999,2,"Comedy, Drama, Sport",124,USA,English,5.5,11356,24000000.0,8678812,-15321188.0,32.0
35832,Qui dove batte il cuore,2000,9,"Comedy, Drama, Romance",120,USA,English,6.8,31320,15000000.0,40863718,25863718.0,30.0
35841,I soliti amici,2000,8,"Comedy, Crime",88,USA,"English, Spanish",5.6,4452,38000000.0,13105853,-24894147.0,37.0
35865,Monsters & Co.,2001,3,"Animation, Adventure, Comedy",92,USA,English,8.0,794964,115000000.0,578981070,463981070.0,79.0
35892,3 Strikes,2000,3,Comedy,82,USA,English,4.8,3112,3400000.0,9832166,6432166.0,11.0
35911,In the Cut,2003,12,"Mystery, Thriller",119,"UK, Australia, France, USA",English,5.3,21552,12000000.0,23726793,11726793.0,46.0
35924,Love & Basketball,2000,4,"Drama, Romance, Sport",124,USA,"English, Spanish",7.2,18088,20000000.0,27728118,7728118.0,70.0
35929,Pianeta rosso,2000,1,"Action, Sci-Fi, Thriller",106,"USA, Australia",English,5.7,54732,80000000.0,33463969,-46536031.0,34.0
35955,I ragazzi della mia vita,2001,3,"Biography, Comedy, Drama",132,USA,English,6.5,26306,48000000.0,35743308,-12256692.0,43.0
35989,La rapina perfetta,2008,2,"Crime, Thriller",111,"UK, USA, Australia","English, Latin",7.2,171338,20000000.0,64828421,44828421.0,69.0
35990,Bats,1999,8,"Horror, Sci-Fi, Thriller",91,USA,English,3.9,9385,5250000.0,10155690,4905690.0,23.0
35997,Chuck & Buck,2000,8,"Comedy, Drama",96,USA,English,6.5,5220,250000.0,1182065,932065.0,76.0
35999,Le ragazze del Coyote Ugly,2000,10,"Comedy, Drama, Music",100,USA,English,5.7,105212,45000000.0,113916474,68916474.0,27.0
36008,The Golden Bowl,2000,10,"Drama, Romance",130,"USA, France, UK",English,5.9,4171,15000000.0,5753678,-9246322.0,62.0
36118,Costi quel che costi,2000,8,"Comedy, Drama, Romance",94,USA,English,5.5,9696,32000000.0,9902115,-22097885.0,20.0
36126,Rock Star,2001,11,"Drama, Music",105,USA,English,6.3,40423,57000000.0,19334145,-37665855.0,54.0
36141,Le vie della violenza,2000,8,"Action, Crime, Drama",119,USA,"English, Spanish",6.7,31393,8500000.0,13200972,4700972.0,49.0
36160,Moulin Rouge!,2001,9,"Drama, Musical, Romance",127,"Australia, USA","English, French, Spanish",7.6,262869,50000000.0,184935030,134935030.0,66.0
36161,Men of Honor - L'onore degli uomini,2000,4,"Biography, Drama",129,USA,English,7.2,105471,32000000.0,82343495,50343495.0,56.0
36168,Together,2000,1,"Comedy, Drama, Romance",106,"Sweden, Denmark, Italy",Swedish,7.4,20318,17000000.0,14596148,-2403852.0,84.0
36173,Conta su di me,2000,3,Drama,111,USA,English,7.5,27607,1200000.0,11242521,10042521.0,85.0
36175,American Desi,2001,9,"Comedy, Drama, Romance",100,"USA, India",English,6.6,1574,250000.0,1104408,854408.0,50.0
36180,Codice Omega,1999,8,"Action, Adventure, Fantasy",100,USA,English,3.6,5006,8000000.0,12614346,4614346.0,14.0
36189,Pollice verde,2000,9,"Comedy, Crime, Romance",91,"UK, USA",English,6.8,5423,1365000.0,1961054,596054.0,46.0
36206,Un corpo da reato,2001,4,"Comedy, Crime",93,USA,"English, Spanish",6.1,28182,18000000.0,13578186,-4421814.0,46.0
36224,Animal Factory,2000,9,"Crime, Drama",94,USA,English,6.6,12630,3600000.0,43805,-3556195.0,65.0
36227,Boys & girls - Attenzione: il sesso cambia tutto,2000,6,"Comedy, Drama, Romance",94,USA,English,5.4,15812,35000000.0,25850615,-9149385.0,29.0
36232,L'esorcista - La genesi,2004,11,"Horror, Mystery, Thriller",114,USA,English,5.2,32932,80000000.0,78110021,-1889979.0,30.0
